match_id,home_team,away_team,score_90min,stage,match_date,is_extra_time,is_penalty,source,source_priority,source_url,confidence
M-1938-07,Czechoslovakia,Netherlands,0-0,round of 16,1938-06-05 00:00:00+00:00,True,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1938-08,Cuba,Romania,2-1,round of 16,1938-06-09 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1938-09,Switzerland,Germany,5-1,round of 16,1938-06-09 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1938-10,Brazil,Czechoslovakia,1-1,quarter-finals,1938-06-12 00:00:00+00:00,True,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1938-11,Hungary,Switzerland,2-0,quarter-finals,1938-06-12 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1938-12,Italy,France,3-1,quarter-finals,1938-06-12 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1938-13,Sweden,Cuba,8-0,quarter-finals,1938-06-12 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1938-14,Brazil,Czechoslovakia,2-1,quarter-finals,1938-06-14 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1938-15,Hungary,Sweden,4-2,semi-finals,1938-06-16 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1938-16,Italy,Brazil,2-1,semi-finals,1938-06-16 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1938-17,Brazil,Sweden,4-2,third-place match,1938-06-19 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1938-18,Italy,Hungary,4-2,final,1938-06-19 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-01,Brazil,Mexico,4-0,group stage,1950-06-24 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-02,Yugoslavia,Switzerland,3-0,group stage,1950-06-25 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-03,England,Chile,2-0,group stage,1950-06-25 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-04,Spain,United States,3-1,group stage,1950-06-25 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-05,Sweden,Italy,3-2,group stage,1950-06-25 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-06,Brazil,Switzerland,2-2,group stage,1950-06-28 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-07,Yugoslavia,Mexico,4-1,group stage,1950-06-28 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-08,Spain,Chile,2-0,group stage,1950-06-29 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-09,United States,England,1-0,group stage,1950-06-29 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-10,Sweden,Paraguay,2-2,group stage,1950-06-29 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-11,Brazil,Yugoslavia,2-0,group stage,1950-07-01 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-12,Chile,United States,5-2,group stage,1950-07-02 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-13,Spain,England,1-0,group stage,1950-07-02 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-14,Italy,Paraguay,2-0,group stage,1950-07-02 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-15,Uruguay,Bolivia,8-0,group stage,1950-07-02 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-16,Switzerland,Mexico,2-1,group stage,1950-07-02 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-17,Brazil,Sweden,7-1,final round,1950-07-09 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-18,Uruguay,Spain,2-2,final round,1950-07-09 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-19,Brazil,Spain,6-1,final round,1950-07-13 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-20,Uruguay,Sweden,3-2,final round,1950-07-13 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-21,Sweden,Spain,3-1,final round,1950-07-16 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1950-22,Uruguay,Brazil,2-1,final round,1950-07-16 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-01,Brazil,Mexico,5-0,group stage,1954-06-16 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-02,Yugoslavia,France,1-0,group stage,1954-06-16 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-03,Austria,Scotland,1-0,group stage,1954-06-16 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-04,Uruguay,Czechoslovakia,2-0,group stage,1954-06-16 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-05,Switzerland,Italy,2-1,group stage,1954-06-17 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-06,Hungary,South Korea,9-0,group stage,1954-06-17 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-07,West Germany,Turkey,4-1,group stage,1954-06-17 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-08,England,Belgium,3-3,group stage,1954-06-17 00:00:00+00:00,True,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-09,Uruguay,Scotland,7-0,group stage,1954-06-19 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-10,Brazil,Yugoslavia,1-1,group stage,1954-06-19 00:00:00+00:00,True,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-11,Austria,Czechoslovakia,5-0,group stage,1954-06-19 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-12,France,Mexico,2-3,group stage,1954-06-19 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-13,Hungary,West Germany,8-3,group stage,1954-06-20 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-14,Turkey,South Korea,7-0,group stage,1954-06-20 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-15,Italy,Belgium,4-1,group stage,1954-06-20 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-16,England,Switzerland,2-0,group stage,1954-06-20 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-17,West Germany,Turkey,7-2,group stage,1954-06-23 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-18,Switzerland,Italy,4-1,group stage,1954-06-23 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-19,Austria,Switzerland,7-5,quarter-finals,1954-06-26 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-20,Uruguay,England,4-2,quarter-finals,1954-06-26 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-21,Hungary,Brazil,4-2,quarter-finals,1954-06-27 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-22,West Germany,Yugoslavia,1-1,quarter-finals,1954-06-27 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-23,Hungary,Uruguay,2-2,semi-finals,1954-06-30 00:00:00+00:00,True,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-24,West Germany,Austria,6-1,semi-finals,1954-06-30 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-25,Austria,Uruguay,2-2,third-place match,1954-07-03 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1954-26,West Germany,Hungary,3-2,final,1954-07-04 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-01,Sweden,Mexico,3-0,group stage,1958-06-08 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-02,Argentina,West Germany,1-3,group stage,1958-06-08 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-03,Northern Ireland,Czechoslovakia,1-0,group stage,1958-06-08 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-04,France,Paraguay,7-3,group stage,1958-06-08 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-05,Yugoslavia,Scotland,1-1,group stage,1958-06-08 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-06,Hungary,Wales,1-1,group stage,1958-06-08 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-07,Brazil,Austria,3-0,group stage,1958-06-08 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-08,Soviet Union,England,2-2,group stage,1958-06-08 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-09,Argentina,Northern Ireland,3-1,group stage,1958-06-11 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-10,West Germany,Czechoslovakia,2-2,group stage,1958-06-11 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-11,Paraguay,Scotland,3-2,group stage,1958-06-11 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-12,Yugoslavia,France,3-2,group stage,1958-06-11 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-13,Mexico,Wales,1-1,group stage,1958-06-11 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-14,Brazil,England,0-0,group stage,1958-06-11 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-15,Soviet Union,Austria,2-0,group stage,1958-06-11 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-16,Sweden,Hungary,2-1,group stage,1958-06-12 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-17,Sweden,Wales,0-0,group stage,1958-06-15 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-18,Czechoslovakia,Argentina,6-1,group stage,1958-06-15 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-19,West Germany,Northern Ireland,2-2,group stage,1958-06-15 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-20,France,Scotland,2-1,group stage,1958-06-15 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-21,Paraguay,Yugoslavia,3-3,group stage,1958-06-15 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-22,Hungary,Mexico,4-0,group stage,1958-06-15 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-23,Brazil,Soviet Union,2-0,group stage,1958-06-15 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-24,England,Austria,2-2,group stage,1958-06-15 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
